"","kicker_name","kicker_id","season","game_id","fg_pct_4nw","xp_pct_4nw","fg_att_4nw","xp_att_4nw","max_dist_4nw","max_made_dist_4nw","n_kkrszn_4nw","lag_n_kkrszn_4nw","szn_kkr_mean_pts","total_points","week"
"1","A.Borregales","00-0040200",2025,"2025_15_BUF_NE",0.888888888888889,0.952380952380952,27,42,53,53,14,13,9,7,"15"
"2","A.Carlson","00-0038402",2024,"2024_17_NYJ_BUF",0.866666666666667,0.8,15,15,58,58,8,7,8.125,0,"17"
"3","A.Seibert","00-0035145",2024,"2024_12_DAL_WAS",0.9,0.916666666666667,30,24,55,55,9,8,13,10,"12"
"4","A.Szmyt","00-0038428",2025,"2025_15_CLE_CHI",0.857142857142857,0.952380952380952,21,21,56,55,14,13,6.28571428571429,6,"15"
"5","B.Aubrey","00-0037692",2025,"2025_15_MIN_DAL",0.885714285714286,0.975609756097561,35,41,68,64,14,13,12.0714285714286,16,"15"
"6","B.Grupe","00-0038905",2025,"2025_15_IND_SEA",0.741935483870968,1,31,17,60,60,13,12,7.84615384615385,17,"15"
"7","B.McManus","00-0029822",2025,"2025_15_GB_DEN",0.76,0.96551724137931,25,29,64,56,11,10,8.81818181818182,17,"15"
"8","B.Narveson","00-0039649",2024,"2024_16_TEN_IND",0.666666666666667,1,18,18,53,47,7,6,8.28571428571429,2,"16"
"9","C.Boswell","00-0031136",2025,"2025_15_MIA_PIT",0.875,1,24,37,60,60,14,13,9.14285714285714,4,"15"
"10","C.Dicker","00-0037224",2025,"2025_15_LAC_KC",0.944444444444444,1,36,29,59,59,14,13,11.2857142857143,12,"15"
"11","C.Little","00-0039409",2025,"2025_15_NYJ_JAX",0.851851851851852,0.975,27,40,68,68,14,13,9.21428571428571,12,"15"
"12","C.McLaughlin","00-0035358",2025,"2025_15_ATL_TB",0.866666666666667,0.964285714285714,30,28,65,65,14,13,9.92857142857143,12,"15"
"13","C.Ryland","00-0038567",2025,"2025_15_ARI_HOU",0.76,1,25,31,63,57,14,13,7.28571428571429,2,"15"
"14","C.Santos","00-0031203",2025,"2025_15_CLE_CHI",0.807692307692308,1,26,33,58,54,12,11,9.33333333333333,7,"15"
"15","C.Smyth","00-0039229",2025,"2025_15_CAR_NO",0.841788478073947,0.956153846153846,5,5,58,56.5,3,2,7.33333333333333,10,"15"
"16","C.York","00-0038097",2024,"2024_18_CIN_PIT",0.692307692307692,0.941176470588235,13,17,59,59,6,5,7.66666666666667,14,"18"
"17","D.Carlson","00-0034161",2025,"2025_15_LV_PHI",0.772727272727273,0.944444444444444,22,18,58,54,14,13,5.85714285714286,0,"15"
"18","D.Hopkins","00-0030098",2024,"2024_18_CLE_BAL",0.666666666666667,0.85,27,20,56,56,16,15,5.375,4,"18"
"19","E.McPherson","00-0036854",2025,"2025_15_BAL_CIN",0.884615384615385,1,26,31,67,63,14,13,8.64285714285714,0,"15"
"20","E.Pineiro","00-0034173",2025,"2025_15_TEN_SF",1,0.846153846153846,25,26,59,59,11,10,11.2727272727273,14,"15"
